"","Rank","Team","2015","Last 3","Last 1","Home","Away","2014"
"308","308","Charl South","6.7%","9.9%","10.2%","7.5%","6.1%","9.5%"
"309","309","Wash State","6.7%","2.7%","4.1%","7.1%","6.1%","5.5%"
"310","310","Arizona","6.6%","5.8%","3.0%","6.4%","6.8%","10.6%"
"311","311","S Florida","6.6%","6.2%","4.5%","6.2%","7.2%","8.6%"
"312","312","Houston Bap","6.6%","5.0%","8.0%","6.8%","6.5%","7.9%"
"313","313","S Dakota St","6.6%","7.3%","7.3%","6.2%","6.8%","7.7%"
"314","314","S Car State","6.6%","5.3%","8.0%","4.6%","7.4%","8.8%"
"315","315","San Diego","6.5%","6.0%","11.9%","6.4%","6.6%","9.8%"
"316","316","Central FL","6.5%","5.7%","5.6%","6.5%","6.3%","7.7%"
"317","317","Michigan St","6.5%","4.1%","8.8%","6.5%","6.4%","7.8%"
"318","318","Marist","6.4%","5.0%","9.2%","6.3%","6.5%","10.3%"
"319","319","N Florida","6.4%","7.4%","5.2%","7.0%","6.0%","8.6%"
"320","320","NC State","6.4%","6.0%","4.4%","6.1%","6.8%","5.8%"
"321","321","GA Tech","6.4%","4.0%","4.7%","6.4%","6.4%","8.6%"
"322","322","N Kentucky","6.4%","5.3%","7.5%","5.8%","6.8%","8.3%"
"323","323","Alcorn State","6.4%","5.7%","4.1%","7.1%","6.0%","8.5%"
"324","324","St Fran (PA)","6.4%","3.5%","2.9%","6.8%","6.0%","10.2%"
"325","325","TX Southern","6.4%","7.2%","4.2%","6.7%","6.2%","9.0%"
"326","326","Army","6.3%","4.4%","4.1%","5.7%","6.9%","8.6%"
"327","327","Bradley","6.3%","4.6%","5.6%","8.6%","4.4%","10.4%"
"328","328","Ohio","6.3%","8.3%","8.0%","7.5%","4.9%","7.4%"
"329","329","Davidson","6.3%","3.7%","5.3%","7.1%","5.5%","7.7%"
"330","330","Santa Clara","6.3%","5.6%","8.5%","5.7%","6.7%","8.9%"
"331","331","SC Upstate","6.3%","6.0%","2.8%","6.0%","6.5%","11.0%"
"332","332","Arkansas St","6.2%","5.2%","5.0%","7.2%","5.4%","7.5%"
"333","333","Duquesne","6.2%","4.7%","7.3%","6.0%","6.4%","7.3%"
"334","334","N Mex State","6.1%","10.2%","10.0%","5.6%","6.6%","10.0%"
"335","335","James Mad","6.1%","6.4%","5.8%","6.6%","5.6%","9.7%"
"336","336","Central Conn","6.1%","3.8%","2.9%","7.2%","5.2%","7.5%"
"337","337","Belmont","6.1%","7.6%","7.0%","7.5%","5.3%","9.2%"
"338","338","WI-Milwkee","6.0%","7.2%","5.4%","5.7%","6.2%","8.0%"
"339","339","Purdue","6.0%","5.0%","2.4%","6.5%","5.4%","8.0%"
"340","340","Vanderbilt","5.9%","3.5%","1.4%","6.5%","5.4%","7.5%"
"341","341","Pacific","5.8%","4.3%","3.0%","5.8%","5.8%","6.4%"
"342","342","W Kentucky","5.8%","2.9%","3.2%","6.4%","5.3%","7.4%"
"343","343","California","5.8%","7.7%","4.0%","4.8%","6.8%","6.1%"
"344","344","Northwestern","5.8%","5.5%","2.9%","5.8%","5.7%","5.8%"
"345","345","Wyoming","5.7%","4.2%","1.4%","6.0%","5.5%","8.9%"
"346","346","App State","5.6%","5.2%","6.3%","5.5%","5.7%","6.2%"
"347","347","N Hampshire","5.5%","2.9%","1.4%","4.9%","5.8%","7.4%"
"348","348","Drake","5.3%","2.4%","1.5%","5.0%","5.6%","7.3%"
"349","349","Delaware","5.2%","6.0%","6.0%","5.3%","5.1%","6.2%"
"350","350","Colorado St","5.1%","4.3%","5.9%","6.0%","4.3%","8.3%"
"351","351","Geo Mason","4.1%","3.7%","4.0%","5.2%","3.1%","8.7%"
