"","Rank","Team","2012","Last 3","Last 1","Home","Away","2011"
"338","338","CS Bakersfld","27.1%","24.0%","25.9%","23.2%","29.2%","26.3%"
"339","339","NC-Grnsboro","27.4%","29.4%","26.9%","27.2%","27.5%","25.3%"
"340","340","TN Tech","27.5%","26.6%","29.5%","27.2%","27.8%","24.1%"
"341","341","Columbia","27.8%","39.0%","37.6%","27.4%","28.2%","23.7%"
"342","342","Manhattan","28.7%","24.0%","26.3%","28.5%","28.8%","25.6%"
"343","343","N Illinois","28.8%","31.0%","30.7%","29.1%","28.5%","28.1%"
"344","344","Sam Hous St","29.0%","28.8%","32.2%","26.3%","30.4%","25.0%"
"345","345","Penn State","29.5%","24.4%","20.8%","28.6%","30.7%","27.6%"
"346","346","S Utah","29.6%","26.4%","25.1%","28.6%","30.4%","27.8%"
"347","347","Morehead St","30.9%","32.4%","30.1%","28.2%","32.8%","26.9%"
