"","Rank","Team","2016","Last 3","Last 1","Home","Away","2015"
"155","155","LA Monroe","26.7%","24.7%","26.7%","25.1%","27.7%","30.6%"
"156","156","Sac State","26.7%","27.2%","20.0%","24.6%","27.9%","29.3%"
"157","157","New Mexico","26.7%","21.4%","31.7%","23.0%","30.7%","27.9%"
"158","158","N Illinois","26.7%","23.6%","24.1%","29.1%","24.6%","25.6%"
"159","159","U Penn","26.7%","20.9%","11.1%","22.8%","29.5%","29.1%"
"160","160","Hampton","26.8%","37.0%","26.9%","26.8%","26.7%","25.7%"
"161","161","N Iowa","26.8%","29.6%","50.0%","25.2%","27.9%","25.8%"
"162","162","Mercer","26.8%","21.3%","20.0%","25.2%","27.9%","25.6%"
"163","163","Buffalo","26.8%","32.0%","32.6%","25.8%","27.5%","26.3%"
"164","164","Maryland BC","26.8%","21.0%","39.1%","26.0%","27.5%","28.6%"
"165","165","Wofford","26.8%","23.8%","29.6%","22.2%","29.4%","25.3%"
"166","166","Winthrop","26.8%","23.5%","22.9%","25.1%","28.3%","29.5%"
"167","167","Kennesaw St","26.9%","27.3%","38.5%","27.5%","26.5%","32.4%"
"168","168","Colorado St","26.9%","25.7%","27.0%","25.2%","28.8%","23.1%"
"169","169","TX-Arlington","27.0%","28.4%","36.1%","24.9%","28.3%","23.9%"
"170","170","Missouri","27.0%","31.4%","24.0%","25.4%","29.3%","28.0%"
"171","171","Harvard","27.0%","20.4%","26.9%","26.3%","27.7%","26.1%"
"172","172","UC Davis","27.0%","32.7%","40.0%","31.0%","25.0%","26.7%"
"173","173","Loyola Mymt","27.1%","27.5%","31.0%","28.6%","24.9%","30.4%"
"174","174","Bowling Grn","27.1%","24.0%","27.3%","24.9%","29.6%","26.9%"
"175","175","Houston Bap","27.2%","22.1%","24.0%","25.8%","28.2%","30.5%"
"176","176","Tennessee","27.2%","21.2%","14.8%","25.1%","29.8%","31.8%"
"177","177","Ball State","27.2%","27.7%","33.3%","25.4%","28.8%","24.6%"
"178","178","Fla Gulf Cst","27.3%","22.8%","37.8%","24.4%","30.7%","25.5%"
"179","179","Florida","27.3%","25.8%","14.3%","24.5%","28.6%","26.6%"
"180","180","U Mass","27.3%","22.1%","31.4%","26.3%","28.6%","28.4%"
"181","181","Michigan","27.3%","31.0%","32.3%","25.0%","30.2%","24.4%"
"182","182","IUPUI","27.3%","23.2%","26.5%","28.6%","26.7%","26.1%"
"183","183","San Diego St","27.3%","26.4%","21.6%","27.0%","27.7%","24.5%"
"184","184","UCSB","27.4%","21.0%","20.0%","26.6%","28.0%","25.2%"
"185","185","Lamar","27.4%","29.2%","17.9%","24.9%","29.3%","30.0%"
"186","186","Nebraska","27.4%","21.9%","35.0%","26.7%","28.3%","25.5%"
"187","187","Jacksonville","27.5%","25.6%","32.1%","27.7%","27.4%","23.7%"
"188","188","UC Riverside","27.5%","32.0%","41.7%","26.4%","28.4%","25.8%"
"189","189","Penn State","27.5%","27.8%","40.0%","28.0%","27.0%","25.7%"
